brief_id,natural_language_sourcing_brief,main_requirement_area,product_or_component_context,material_requirement,process_requirement,certification_or_quality_requirement,development_stage,rmct_facets_covered,intended_validation_use
B1,"We need a supplier to manufacture a prototype aluminium enclosure for an electronic control unit. The supplier should be able to advise on manufacturability, produce one-off or low-volume prototypes, and support a transition to small-batch production if the design is approved.","Prototype manufacture; design-for-manufacture support; low-volume production","Electronic control unit enclosure","Aluminium","CNC machining or sheet-metal fabrication; prototype manufacture","Evidence of inspection or quality control desirable","Prototype to small-batch production","D1 Production Process Capability; D2 Material Capability; D5 Engineering, Product Development and Industrialisation Support; D7 Commercial and Delivery Readiness","Use as a realistic product-development brief to test whether retrieval systems can identify prototype-capable aluminium manufacturing partners."
B2,"We are looking for a local precision machining supplier that can produce low-volume stainless-steel components for an industrial machine. The supplier should have evidence of CNC machining capability and a recognised quality management system such as ISO 9001.","Certification-constrained low-volume precision machining","Industrial machine component","Stainless steel","CNC machining; precision machining; low-volume or batch production","ISO 9001 or equivalent quality management evidence required","Low-volume production","D1 Production Process Capability; D2 Material Capability; D3 Quality, Testing and Certification Capability; D7 Commercial and Delivery Readiness","Use to evaluate whether retrieval systems can combine process, material, production-volume and certification constraints."
B3,"We need an engineering partner to support design-for-manufacture, prototyping and testing of a new mechanical assembly. The supplier should be able to review the design, suggest manufacturing improvements, build prototypes and provide inspection or testing evidence.","Design-for-manufacture, prototyping and testing support","New mechanical assembly","Material not fixed at brief stage","DFM support; prototype manufacture; inspection or testing","Testing, inspection or documented quality evidence desirable","Design review to prototype validation","D3 Quality, Testing and Certification Capability; D5 Engineering, Product Development and Industrialisation Support","Use to test whether systems can identify firms with engineering support rather than only production-process keywords."
B4,"We require a powder coating or surface finishing supplier for aluminium or steel parts. Preference should be given to suppliers that show environmental management capability, such as ISO 14001, waste reduction, recycling or sustainable coating practices.","Surface finishing with environmental management","Coated aluminium or steel parts","Aluminium or steel","Powder coating; coating; surface finishing","ISO 14001 or environmental management evidence desirable","Production finishing supplier selection","D1 Production Process Capability; D2 Material Capability; D3 Quality, Testing and Certification Capability; D8 Sustainability and Circular Production Practices","Use to assess retrieval of combined process, material and sustainability-related evidence."
B5,"We need a pilot production partner for a medical or regulated device component. The supplier should be able to move from prototype manufacture to repeatable pilot batches, with evidence of inspection, traceability, documentation or quality control.","Pilot production for regulated component manufacture","Medical or regulated device component","Material depends on component design","Prototype manufacture; pilot production; repeatable batch manufacture","Inspection, traceability, documentation or quality control required","Prototype to pilot production","D1 Production Process Capability; D3 Quality, Testing and Certification Capability; D4 Sector and Application Experience; D5 Engineering, Product Development and Industrialisation Support; D7 Commercial and Delivery Readiness","Use to test whether systems can identify firms capable of moving from prototype to controlled pilot production."
B6,"We are seeking a supplier to support scale-up of an automotive metal component from prototype to production. The supplier should have metal forming, fabrication or machining capability, automotive sector experience and evidence of production capacity or quality assurance.","Automotive component scale-up","Automotive metal component","Metal; steel or aluminium depending on design","Metal forming; fabrication; machining; scalable production","Quality assurance evidence desirable; automotive quality evidence preferred","Scale-up from prototype to production","D1 Production Process Capability; D2 Material Capability; D3 Quality, Testing and Certification Capability; D4 Sector and Application Experience; D7 Commercial and Delivery Readiness","Use to evaluate supply-readiness and sector-specific scale-up search performance."
B7,"We need a supplier for aerospace-grade aluminium or titanium machined parts. The supplier should demonstrate CNC machining capability, experience with aerospace applications and relevant certification or quality evidence such as AS9100 or advanced inspection capability.","Aerospace material-process-certification combination","Aerospace machined part","Aluminium or titanium","CNC machining; precision machining","AS9100, aerospace quality evidence or advanced inspection capability required","Qualified production supplier discovery","D1 Production Process Capability; D2 Material Capability; D3 Quality, Testing and Certification Capability; D4 Sector and Application Experience","Use to test retrieval under strict material, process, sector and certification constraints."
B8,"We are looking for a digitally enabled manufacturing partner for forged or machined automotive components. The supplier should show evidence of CNC, automation, CAD/CAM, robotics, digital production systems or process control capability.","Digitally enabled automotive component production","Forged or machined automotive component","Metal","Forging or machining; CNC-enabled production","Quality or process-control evidence desirable","Production supplier discovery","D1 Production Process Capability; D4 Sector and Application Experience; D6 Digital Production and Automation Capability","Use to evaluate whether systems can retrieve digital and automation capability signals from public website evidence."
B9,"We require a regional supplier for rail-related steel fabrication. The supplier should be able to fabricate, weld or assemble steel structures and provide evidence of quality control, inspection or certification suitable for infrastructure or transport applications.","Rail-sector steel fabrication","Rail or transport-related fabricated structure","Steel","Fabrication; welding; assembly","Quality control, inspection or certification evidence required","Sector-specific production sourcing","D1 Production Process Capability; D2 Material Capability; D3 Quality, Testing and Certification Capability; D4 Sector and Application Experience","Use to assess retrieval for sector-specific fabrication with material and quality requirements."
B10,"We need a supplier that can repair, refurbish or remanufacture industrial equipment or components. The supplier should demonstrate engineering support, lifecycle service capability and, ideally, evidence of circular economy, reuse, repair or sustainability practices.","Lifecycle support, repair and remanufacturing","Industrial equipment or component","Material depends on equipment type","Repair; refurbishment; remanufacturing; engineering service support","Quality evidence desirable; sustainability or circularity evidence desirable","Lifecycle support and circular supply option","D5 Engineering, Product Development and Industrialisation Support; D7 Commercial and Delivery Readiness; D8 Sustainability and Circular Production Practices","Use to test retrieval of lifecycle, circularity and engineering support capabilities rather than new-part manufacture only."
